basket_id,direction,tranches_filled,entry_first_time,entry_last_time,ref_spread,std_ref,vwa_entry_spread,qff_contracts,gross_notional_twd,exit_time,exit_reason,exit_spread,mae_spread,mae_k,gross_pnl_twd,total_fee_twd,net_pnl_twd,holding_minutes
44,short_tsm_long_qff,1,2026-07-17 21:31:00+08:00,2026-07-17 21:31:00+08:00,0.1301258075663173,0.8616848807858911,0.1301258075663173,1,266000.0,2026-07-21 21:31:00+08:00,zscore_exit,-2.333089757287633,1.2334056750678113,1.431388321381357,6764.377331832085,1438.108303717859,5326.269028114226,5760
45,long_tsm_short_qff,1,2026-07-21 21:33:00+08:00,2026-07-21 21:33:00+08:00,-2.4760283677364474,1.0569709154239575,-2.4760283677364474,-1,278000.0,2026-07-23 21:35:00+08:00,zscore_exit,-1.4647427950362573,0.0,0.0,2785.2584632341445,1461.21281837637,1324.0456448577745,2882
46,short_tsm_long_qff,1,2026-07-24 22:45:00+08:00,2026-07-24 22:45:00+08:00,-0.1235413058121338,0.8163713593636871,-0.1235413058121338,1,246000.0,2026-07-25 00:10:00+08:00,zscore_exit,-1.073166763117651,0.1673211940050569,0.20495720738595463,2419.5608076697163,1445.2402242465432,974.320583423173,85
47,short_tsm_long_qff,1,2026-07-25 00:51:00+08:00,2026-07-25 00:51:00+08:00,0.0307904781259092,0.7402132543453578,0.0307904781259092,1,251000.0,2026-07-27 21:31:00+08:00,zscore_exit,-1.0722944798932237,0.522808111555086,0.7062939071760553,2841.3166278483786,1444.18890036375,1397.1277274846286,4120
48,long_tsm_short_qff,1,2026-07-27 22:21:00+08:00,2026-07-27 22:21:00+08:00,-1.8411274845381271,0.7529158350341817,-1.8411274845381271,-1,252000.0,2026-07-27 22:41:00+08:00,zscore_exit,-0.6628174784279239,0.06355861619245728,0.08441662830689672,2868.497625005528,1459.3497124347941,1409.1479125707338,20
49,long_tsm_short_qff,1,2026-07-28 00:03:00+08:00,2026-07-28 00:03:00+08:00,-1.678799743876137,0.7475606712158103,-1.678799743876137,-1,246000.0,2026-07-28 03:08:00+08:00,zscore_exit,-0.8744388313358628,0.26913938558105976,0.36002346825353926,2002.9440209325107,1457.096420394944,545.8476005375667,185
50,short_tsm_long_qff,1,2026-07-28 21:31:00+08:00,2026-07-28 21:31:00+08:00,3.941194176495392,0.7182743635382296,3.941194176495392,2,430000.0,2026-07-31 22:20:00+08:00,zscore_exit,-0.0312064813659861,0.3277046978034548,0.4562388892583843,19319.3273177703,2843.049293928493,16476.27802384181,4369
51,short_tsm_long_qff,1,2026-08-03 21:33:00+08:00,2026-08-03 21:33:00+08:00,1.91816786756134,1.258328734218781,1.91816786756134,1,224000.0,2026-08-04 21:31:00+08:00,zscore_exit,-0.2732775811644395,1.2268751701930305,0.9750036988185936,5549.2235240566115,1434.3141493846401,4114.909374671972,1438
52,short_tsm_long_qff,1,2026-08-05 02:19:00+08:00,2026-08-05 02:19:00+08:00,2.392812610261932,1.1282076947058834,2.392812610261932,1,262000.0,2026-08-05 23:32:00+08:00,zscore_exit,0.9117999696090522,0.25041526309486395,0.22195847827482298,3660.812602483271,1439.4911730990682,2221.321429384203,1273
53,long_tsm_short_qff,1,2026-08-06 21:39:00+08:00,2026-08-06 21:39:00+08:00,0.2048555296868156,0.8199841540838171,0.2048555296868156,-1,244000.0,2026-08-06 22:02:00+08:00,zscore_exit,1.464656008749169,0.0,0.0,3106.099802879635,1456.7857819463707,1649.3140209332641,23
54,short_tsm_long_qff,1,2026-08-06 22:18:00+08:00,2026-08-06 22:18:00+08:00,2.1409793780229207,0.8105344310288977,2.1409793780229207,1,246000.0,2026-08-10 21:32:00+08:00,zscore_exit,1.5174276204945012,0.914163269791032,1.1278524820106497,1523.0769230769656,1443.6486386813185,79.4282843956471,5714
55,long_tsm_short_qff,2,2026-08-11 01:43:00+08:00,2026-08-13 21:53:00+08:00,0.399708209015407,0.7949874321642699,-0.4916636457641555,-2,495000.0,2026-08-17 21:52:00+08:00,zscore_exit,0.8654841224645384,1.7509090004598549,2.2024360758675,6635.407743427794,2914.6091815670593,3720.798561860735,9849
56,short_tsm_long_qff,1,2026-08-18 00:01:00+08:00,2026-08-18 00:01:00+08:00,1.5795393319560695,0.8279339536288405,1.5795393319560695,1,247000.0,2026-08-19 21:31:00+08:00,zscore_exit,0.1766573822193704,0.5001286910446254,0.6040683424717126,3287.762622397453,1438.499172320491,1849.263450076962,2730
57,long_tsm_short_qff,1,2026-08-19 21:51:00+08:00,2026-08-19 21:51:00+08:00,-0.9147997236243868,0.6781847045552497,-0.9147997236243868,-1,232000.0,2026-08-20 21:32:00+08:00,zscore_exit,0.3759355099704918,0.19154522490061732,0.2824381375959102,2987.9486006292827,1456.6163866519,1531.3322139773827,1421
58,long_tsm_short_qff,2,2026-08-20 23:46:00+08:00,2026-08-24 22:01:00+08:00,-0.3397553200047828,0.7190355785848328,-0.7991373328258703,-2,473000.0,2026-08-26 03:59:00+08:00,end_of_data,-0.8203287294901094,1.546597953511268,2.1509338335596673,-163.65500875869475,2898.947388115753,-3062.6023968744475,7453
